nodenumber,    x-coordinate,    y-coordinate,velocity-magnitude
       208, 2.101880988E+01, 2.539707581E-01, 1.643666260E+02
       209, 2.127520168E+01, 2.539707581E-01, 1.631397330E+02
       210, 2.153159349E+01, 2.539707581E-01, 1.616676731E+02
       211, 2.178798529E+01, 2.539707581E-01, 1.600517692E+02
       212, 2.204437710E+01, 2.539707581E-01, 1.583016453E+02
       213, 2.230076891E+01, 2.539707581E-01, 1.564732041E+02
       214, 2.255716071E+01, 2.539707581E-01, 1.546414922E+02
       215, 2.281355252E+01, 2.539707581E-01, 1.528658489E+02
       216, 2.306994433E+01, 2.539707581E-01, 1.511881653E+02
       217, 2.332633613E+01, 2.539707581E-01, 1.496196717E+02
       218, 2.358272794E+01, 2.539707581E-01, 1.481352938E+02
       219, 2.383911975E+01, 2.539707581E-01, 1.466718285E+02
       220, 2.409551155E+01, 2.539707581E-01, 1.451478639E+02
       221, 2.435190336E+01, 2.539707581E-01, 1.434856826E+02
       222, 2.460829516E+01, 2.539707581E-01, 1.416314463E+02
       223, 2.486468697E+01, 2.539707581E-01, 1.395635697E+02
       224, 2.512107878E+01, 2.539707581E-01, 1.372860993E+02
       225, 2.537747058E+01, 2.539707581E-01, 1.348201289E+02
       226, 2.563386239E+01, 2.539707581E-01, 1.321908852E+02
       227, 2.589025420E+01, 2.539707581E-01, 1.294255734E+02
       228, 2.614664600E+01, 2.539707581E-01, 1.265455833E+02
       229, 2.640303781E+01, 2.539707581E-01, 1.235725291E+02
       230, 2.665942961E+01, 2.539707581E-01, 1.205250803E+02
       231, 2.691582142E+01, 2.539707581E-01, 1.174218814E+02
       232, 2.717221323E+01, 2.539707581E-01, 1.142830990E+02
       233, 2.742860503E+01, 2.539707581E-01, 1.111308210E+02
       234, 2.768499684E+01, 2.539707581E-01, 1.079905072E+02
       235, 2.794138865E+01, 2.539707581E-01, 1.048942990E+02
       236, 2.819778045E+01, 2.539707581E-01, 1.018900048E+02
       237, 3.000000000E+01, 5.014521614E-01, 8.212244095E+01
       238, 2.504960615E-01, 5.017213770E-01, 4.161440782E+01
       239, 0.000000000E+00, 5.017790777E-01, 4.857618845E+01
       240, 5.038363323E-01, 5.022983345E-01, 3.529193998E+01
       241, 2.974281767E+01, 5.027114595E-01, 8.510653858E+01
       242, 7.587745629E-01, 5.028609393E-01, 3.219681903E+01
       243, 2.948627860E+01, 5.033424891E-01, 8.787589469E+01
       244, 2.922981315E+01, 5.036579050E-01, 9.048512972E+01
       245, 1.016650306E+00, 5.036826139E-01, 2.876334705E+01
       246, 1.273390744E+00, 5.037655108E-01, 2.626258372E+01
       247, 1.786214965E+00, 5.039194780E-01, 2.463620057E+01
       248, 2.045811699E+00, 5.039536735E-01, 2.525407198E+01
       249, 2.299008730E+00, 5.039579460E-01, 2.649449003E+01
       250, 2.558598696E+00, 5.039664896E-01, 2.829026498E+01
       251, 2.811794881E+00, 5.039675570E-01, 3.052713945E+01
       252, 3.071383154E+00, 5.039696916E-01, 3.331568970E+01
       253, 3.324579128E+00, 5.039699583E-01, 3.642358175E+01
       254, 3.584166978E+00, 5.039704916E-01, 3.977308853E+01
       255, 3.837362899E+00, 5.039705583E-01, 4.298664970E+01
       256, 4.096950644E+00, 5.039706915E-01, 4.617536299E+01
       257, 4.350146551E+00, 5.039707081E-01, 4.924649113E+01
       258, 4.609734270E+00, 5.039707414E-01, 5.241437363E+01
       259, 4.862930174E+00, 5.039707456E-01, 5.556124137E+01
       260, 5.122517886E+00, 5.039707539E-01, 5.892164678E+01
       261, 5.375713789E+00, 5.039707550E-01, 6.243787640E+01
       262, 5.635301499E+00, 5.039707570E-01, 6.644885798E+01
       263, 5.888497402E+00, 5.039707573E-01, 7.087265477E+01
       264, 6.148085112E+00, 5.039707578E-01, 7.591386946E+01
       265, 6.401281015E+00, 5.039707579E-01, 8.117590789E+01
       266, 6.660868724E+00, 5.039707580E-01, 8.674512911E+01
       267, 6.914064627E+00, 5.039707580E-01, 9.221509011E+01
       268, 7.173652337E+00, 5.039707581E-01, 9.779573488E+01
       269, 7.426848240E+00, 5.039707581E-01, 1.031989614E+02
       270, 7.686435949E+00, 5.039707581E-01, 1.087129285E+02
       271, 7.939631853E+00, 5.039707581E-01, 1.140912268E+02
       272, 8.199219562E+00, 5.039707581E-01, 1.196278920E+02
       273, 8.452415465E+00, 5.039707581E-01, 1.250604415E+02
       274, 8.712003175E+00, 5.039707581E-01, 1.306550344E+02
       275, 8.965199078E+00, 5.039707581E-01, 1.361071426E+02
       276, 9.224786787E+00, 5.039707581E-01, 1.416429922E+02
       277, 9.477982690E+00, 5.039707581E-01, 1.469260749E+02
       278, 9.737570400E+00, 5.039707581E-01, 1.521421022E+02
       279, 9.990766303E+00, 5.039707581E-01, 1.569332662E+02
       280, 1.025035401E+01, 5.039707581E-01, 1.614069760E+02
       281, 1.050354992E+01, 5.039707581E-01, 1.651876859E+02
       282, 1.076313762E+01, 5.039707581E-01, 1.682968706E+02
       283, 1.101633353E+01, 5.039707581E-01, 1.704741761E+02
       284, 1.127592124E+01, 5.039707581E-01, 1.717707125E+02
       285, 1.152911714E+01, 5.039707581E-01, 1.721247024E+02
       286, 1.178870485E+01, 5.039707581E-01, 1.717714281E+02
       287, 1.204190075E+01, 5.039707581E-01, 1.709568115E+02
       288, 1.230148846E+01, 5.039707581E-01, 1.697515367E+02
       289, 1.255468437E+01, 5.039707581E-01, 1.683338708E+02
       290, 1.281427208E+01, 5.039707581E-01, 1.667016985E+02
       291, 1.306746798E+01, 5.039707581E-01, 1.649558116E+02
       292, 1.332705569E+01, 5.039707581E-01, 1.630330661E+02
       293, 1.358025159E+01, 5.039707581E-01, 1.610905023E+02
       294, 1.383983930E+01, 5.039707581E-01, 1.591970071E+02
       295, 1.409303520E+01, 5.039707581E-01, 1.576833180E+02
       296, 1.435262291E+01, 5.039707581E-01, 1.567865062E+02
       297, 1.460581882E+01, 5.039707581E-01, 1.567703112E+02
       298, 1.486540653E+01, 5.039707581E-01, 1.576102806E+02
       299, 1.511860243E+01, 5.039707581E-01, 1.590699114E+02
       300, 1.537819014E+01, 5.039707581E-01, 1.609470615E+02
       301, 1.563138604E+01, 5.039707581E-01, 1.628895088E+02
       302, 1.589097375E+01, 5.039707581E-01, 1.647375686E+02
       303, 1.614416965E+01, 5.039707581E-01, 1.662190093E+02
       304, 1.640375736E+01, 5.039707581E-01, 1.673414913E+02
       305, 1.665695327E+01, 5.039707581E-01, 1.680345155E+02
       306, 1.691654098E+01, 5.039707581E-01, 1.683172143E+02
       307, 1.716973688E+01, 5.039707581E-01, 1.681700915E+02
       308, 1.742932459E+01, 5.039707581E-01, 1.676267667E+02
       309, 1.768252049E+01, 5.039707581E-01, 1.667841075E+02
       310, 1.794210820E+01, 5.039707581E-01, 1.656467932E+02
       311, 1.819530410E+01, 5.039707581E-01, 1.643135789E+02
       312, 1.845489181E+01, 5.039707581E-01, 1.627931480E+02
       313, 1.870808772E+01, 5.039707581E-01, 1.612938809E+02
       314, 1.896767543E+01, 5.039707581E-01, 1.600627660E+02
       315, 1.922087133E+01, 5.039707581E-01, 1.596795440E+02
       316, 1.948045904E+01, 5.039707581E-01, 1.605680203E+02
       317, 1.973365494E+01, 5.039707581E-01, 1.627212895E+02
       318, 1.999324265E+01, 5.039707581E-01, 1.657375864E+02
       319, 2.024643855E+01, 5.039707581E-01, 1.685692359E+02
       320, 2.050602626E+01, 5.039707581E-01, 1.704702564E+02
       321, 2.075922217E+01, 5.039707581E-01, 1.708651356E+02
       322, 2.101880988E+01, 5.039707581E-01, 1.698941598E+02
       323, 2.127200578E+01, 5.039707581E-01, 1.680961126E+02
       324, 2.153159349E+01, 5.039707581E-01, 1.658346391E+02
       325, 2.178478939E+01, 5.039707581E-01, 1.634595895E+02
       326, 2.204437710E+01, 5.039707581E-01, 1.609329485E+02
       327, 2.229757300E+01, 5.039707581E-01, 1.584691283E+02
       328, 2.255716071E+01, 5.039707581E-01, 1.560401793E+02
       329, 2.281035662E+01, 5.039707581E-01, 1.538370841E+02
       330, 2.306994433E+01, 5.039707581E-01, 1.517968601E+02
       331, 2.332314023E+01, 5.039707581E-01, 1.500300878E+02
       332, 2.358272794E+01, 5.039707581E-01, 1.484181361E+02
       333, 2.383592384E+01, 5.039707581E-01, 1.469733633E+02
       334, 2.409551155E+01, 5.039707581E-01, 1.455417435E+02
       335, 2.434870745E+01, 5.039707581E-01, 1.441217969E+02
       336, 2.460829516E+01, 5.039707581E-01, 1.425945975E+02
       337, 2.486149107E+01, 5.039707581E-01, 1.409989262E+02
       338, 2.512107878E+01, 5.039707581E-01, 1.392029315E+02
       339, 2.537427468E+01, 5.039707581E-01, 1.372285473E+02
       340, 2.563386239E+01, 5.039707581E-01, 1.349199258E+02
       341, 2.588705829E+01, 5.039707581E-01, 1.323723952E+02
